"Artifact","OriginalJar","SHA256"
"mod0043","journeymap-forge-1.20.1-6.0.0.jar","BF09A107F7022A4E3DA02355440FA89B74087CF3CB58EBA20935824DDDA534AA"
"mod0044","konkrete_forge_1.8.0_MC_1.20-1.20.1.jar","E78686B92C3761EC26EB9D3C53EFDD3D6CA77981CBD3723995E1163B7103AE0B"
"mod0045","kubejs-forge-2001.6.5-build.26.jar","1769312192FBF9D72F45054BA61130523BFB471B5F480A4BFF8C210EC09400BB"
"mod0046","Mekanism-1.20.1-10.4.16.80.jar","3B0D191FA4A45E662F9725991D76A30192F30186ABB2BA694B873B5F7B9358D2"
"mod0047","MekanismAdditions-1.20.1-10.4.16.80.jar","980A86196B872CA7A66A76D37FE2119097BEB8E9CC7F0FAD44AA0BB47F7D83A4"
"mod0048","MekanismGenerators-1.20.1-10.4.16.80.jar","BE2D5B8553F8638CFABF491002F95CEF6ACEF210F627ADDB391F5AF713502512"
"mod0049","MekanismTools-1.20.1-10.4.16.80.jar","29089222FD52D272D767D7D2F62B9E6B401B3280A212BE096EAEDB0FC48AACFB"
"mod0050","melody_forge_1.0.3_MC_1.20.1-1.20.4.jar","933E2A7E79C4594F965F7F7D00B1F28A98EC2A180AD8F9F90310A266FE5CF5D8"
"mod0051","MutantsZombies-1.4.0-Forge-mc1.20.1.jar","58C2E2D8F50B6E9AEAC27F3A531E7D7BDF8BC8E385618BFE89F22DA30C5A13C9"
"mod0052","Placebo-1.20.1-8.6.3.jar","1CDF906CFBCBB5E5BE2EF1BB721F79A24B01BD2AC559C8CDBFB7693F62421571"
"mod0053","PresenceFootsteps-1.20.1-1.9.1-beta.1.jar","447DD543E178A9454CCF3BF0D9D7BD7957B1AF6DA9D74F2CD3D9B5FBE8548E98"
"mod0054","resourcefulconfig-forge-1.20.1-2.1.3.jar","C404B9E5CF8595427A72D4CA6EE5730289168762B463F169BE3AE5DFE3727DED"
"mod0055","resourcefullib-forge-1.20.1-2.1.29.jar","B13AFB95231D88E1CAEA5A045967E0FC291B29020B0D26AD39E6F9E9A551FEE8"
"mod0056","rhino-forge-2001.2.3-build.10.jar","FED2211429301BF043864183CAB9AB8E92D4CC4DBB9E488CE6C75217C54584A6"
"mod0057","sophisticatedbackpacks-1.20.1-3.24.62.2017.jar","FFA11DA88BDE6ED6158BFBA25E2E33005260B080A4558CC4F85BE7BAEA9F9220"
"mod0058","sophisticatedcore-1.20.1-1.3.73.2192.jar","96C0FA99F790DF039116278518FBC78D858EA43CF2D317031E7D81FB2706A7A3"
"mod0059","spark-1.10.53-forge.jar","EBA275BA9BB0CB5B542913C3138C6EEFF6A752898266D63D125D185F26AC99ED"
"mod0060","thermal_dynamics-1.20.1-11.0.1.23.jar","1EB755E77B8BBDF5FEF16C1B725002D2B47520B544E49F1274724986AB677CA0"
"mod0061","thermal_expansion-1.20.1-11.0.1.29.jar","F44D9E2476DEB0CE2700C3837AA6E99C6A6BC95BC2D89D69EBE34B6C3A612633"
"mod0062","thermal_foundation-1.20.1-11.0.6.70.jar","8CB610ABB3C835B47F9B4EC19BE6A54104D1F61230B67A9D5BFD097C5AC45823"
"mod0063","thermal_innovation-1.20.1-11.0.1.23.jar","CB9AE2B7184B01441687A9FD7CA534D861B37B46934003DC14F2675BC844150F"
"mod0064","thermal_integration-1.20.1-11.0.1.27.jar","C0B8004499A5C4F8CB42ABAD96C6BE1F8EE49AF6F756A72CEF7C828199C570D4"
"mod0065","waystones-forge-1.20.1-14.1.20.jar","5ECC6535596B5954F6293224BE6B35805C64F4D4AEDC2B9E32D9508DD529CABD"
"mod0066","YungsApi-1.20-Forge-4.0.6.jar","101C30D01D0CF9D86190F578EB1E43BD06B64092E95662A00EF52946F472C7B1"
"mod0067","YungsBetterMineshafts-1.20-Forge-4.0.4.jar","6632E7BCC58325098E85BCB755483DE7CB3AF92A5EA548F3B5C0162CBF0DC1DC"
"mod0068","zombieawareness-1.20.1-1.13.1.jar","4F5104F7D29E1D065364D2483885F3751DA2BEF09A734CEAD2FCE81C82C46586"
